Items,Description,Real Price,% Discount,Discounted Price,Images
CUT OUT PRINTED TULLE DRESS,Mini dress with straight neckline and wide straps. Ruched fabric. Opening detail at waist. Matching interior lining.,$ 39.90,-42%,$ 22.99,"['https://static.zara.net/assets/public/d0d9/d291/eba742d1994e/0a0de0a36f5e/05039473119-p/05039473119-p.jpg?ts=1710507037442&w=477', 'https://static.zara.net/assets/public/c86c/1f9e/89974cd5a55e/05e2c23f8172/05039473119-a1/05039473119-a1.jpg?ts=1710507053488&w=477', 'https://static.zara.net/assets/public/5176/0c72/6a174b3487de/c4d250cb1a75/24390205807-e1/24390205807-e1.jpg?ts=1712659087647&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/6d09/b68b/75994ce0a0a3/13d40e94e9f7/01228817800-e1/01228817800-e1.jpg?ts=1710774138206&w=151', 'https://static.zara.net/assets/public/8e1d/5eac/4e75470cb169/0331a55d5616/01228818800-e1/01228818800-e1.jpg?ts=1710774136027&w=151', 'https://static.zara.net/assets/public/2e71/752b/9e8d4650ab4d/0dc91c13b8b9/02875447712-e1/02875447712-e1.jpg?ts=1710351063791&w=151', 'https://static.zara.net/assets/public/04db/f4a7/70d14e148ec8/4e8ddaa1b26e/05584159250-e1/05584159250-e1.jpg?ts=1709300680056&w=151']"
SATIN EFFECT MINI DRESS,Mini dress made of satin effect fabric. Round neckline and straps.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/c6ae/2582/49194e2fa832/8f6f04e5c193/06929004800-e1/06929004800-e1.jpg?ts=1705337046473&w=477', 'https://static.zara.net/assets/public/3da5/b72a/6c75451389c1/8f613edd7c31/06929004800-e2/06929004800-e2.jpg?ts=1705337046524&w=477', 'https://static.zara.net/photos///2023/I/0/1/p/3739/250/800/2/w/151/3739250800_6_1_1.jpg?ts=1695893759477', 'https://static.zara.net/assets/public/ace8/93c2/67b4446692fe/4220ddc689df/1638466168656/1638466168656.jpg?ts=1701714850327&w=151', 'https://static.zara.net/assets/public/e37a/c6de/6a8344a083bc/c7035b2d2528/4000.jpg?ts=1691502195375&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151', 'https://static.zara.net/assets/public/c140/da73/57e64606bc1d/d336bb651b4d/05039473119-e1/05039473119-e1.jpg?ts=1710490178398&w=151']"
TIERED POPLIN MIDI DRESS,Straight neck midi dress with adjustable spaghetti straps. Tonal matching lace trim. Tiered skirt. Tonal interior lining.,$ 59.90,-33%,$ 39.99,"['https://static.zara.net/assets/public/f061/e1e6/81d1468186d7/beb44ef07925/00881346250-015-p/00881346250-015-p.jpg?ts=1714037584417&w=477', 'https://static.zara.net/assets/public/1252/4ac1/39eb47c4a5e0/e22920df14a8/00881346250-015-a1/00881346250-015-a1.jpg?ts=1714037581994&w=477', 'https://static.zara.net/assets/public/cc98/b86b/98db4a1aa0f9/4a7b68040f2d/24770701431-e1/24770701431-e1.jpg?ts=1711454441303&w=151', 'https://static.zara.net/assets/public/d538/6c0f/fb504d28bb43/4be9863a2330/1685544907397/1685544907397.jpg?ts=1703141123867&w=151', 'https://static.zara.net/assets/public/6d09/b68b/75994ce0a0a3/13d40e94e9f7/01228817800-e1/01228817800-e1.jpg?ts=1710774138206&w=151', 'https://static.zara.net/assets/public/8e1d/5eac/4e75470cb169/0331a55d5616/01228818800-e1/01228818800-e1.jpg?ts=1710774136027&w=151', 'https://static.zara.net/assets/public/c140/da73/57e64606bc1d/d336bb651b4d/05039473119-e1/05039473119-e1.jpg?ts=1710490178398&w=151', 'https://static.zara.net/assets/public/c97c/d16d/55ff48eb9550/19bce0ec9b5a/07200304712-e1/07200304712-e1.jpg?ts=1711040459215&w=151']"
SHORT FITTED DRESS,Fitted mini dress with straight neck and adjustable spaghetti straps.,$ 25.90,-49%,$ 12.99,"['https://static.zara.net/assets/public/86c3/de6f/29b847889c22/add0dac33b05/04424304630-p/04424304630-p.jpg?ts=1709743366830&w=477', 'https://static.zara.net/assets/public/c9ff/938c/90624ad8be06/53a5666f6483/04424304630-a1/04424304630-a1.jpg?ts=1709743371558&w=477', 'https://static.zara.net/assets/public/6aa4/44de/5a2146e49612/a362029d0e55/05320715809-e1/05320715809-e1.jpg?ts=1707238497815&w=151', 'https://static.zara.net/assets/public/b4b1/8051/17ff4dbe8398/167c45a33a7d/13303310800-e1/13303310800-e1.jpg?ts=1706713136758&w=151', 'https://static.zara.net/assets/public/fe65/10ed/cdca449f90f4/65dc3bd5687e/1670244181378/1670244181378.jpg?ts=1701065353789&w=151', 'https://static.zara.net/assets/public/9205/dec2/06f64d5685b2/1d203be3f188/20110674999-e1/20110674999-e1.jpg?ts=1709215869786&w=151', 'https://static.zara.net/assets/public/503d/3b54/8ad04944ba67/de9a0c0521f4/01758812942-10-e1/01758812942-10-e1.jpg?ts=1710757458110&w=151', 'https://static.zara.net/assets/public/c4b9/7d57/3adf44a3bb28/825b95660887/04424304600-e1/04424304600-e1.jpg?ts=1709653755323&w=151']"
CUTWORK DRESS,Fitted mini dress with mock neck and short sleeves.,$ 39.90,-42%,$ 22.99,"['https://static.zara.net/assets/public/dd79/d4fd/165344149328/25025706a996/08779164044-015-p/08779164044-015-p.jpg?ts=1709552906146&w=477', 'https://static.zara.net/assets/public/c67c/77a5/d37343239814/5102461f8757/08779164044-015-a1/08779164044-015-a1.jpg?ts=1709552904215&w=477', 'https://static.zara.net/assets/public/d7d5/1c49/f4384a3d9286/a5008c9c4fef/1681309783688/1681309783688.jpg?ts=1701729339524&w=151', 'https://static.zara.net/assets/public/39a0/17d9/7aa64149a314/af59d059c293/1679046747330/1679046747330.jpg?ts=1702177306882&w=151', 'https://static.zara.net/assets/public/6d09/b68b/75994ce0a0a3/13d40e94e9f7/01228817800-e1/01228817800-e1.jpg?ts=1710774138206&w=151', 'https://static.zara.net/assets/public/8e1d/5eac/4e75470cb169/0331a55d5616/01228818800-e1/01228818800-e1.jpg?ts=1710774136027&w=151', 'https://static.zara.net/assets/public/28c7/faa5/aa3142929945/80b7e6dfe4ad/04424304630-e1/04424304630-e1.jpg?ts=1709653747728&w=151', 'https://static.zara.net/assets/public/f3dc/d9c0/34e0499fa7a6/4b2b9bf71c8e/04424304800-e1/04424304800-e1.jpg?ts=1709653749009&w=151']"
BELTED FLORAL PRINT MINI DRESS,Dress with lapel collar and long sleeves. Belt loops at waistband with belt. Flounced hem. Front button closure.,$ 59.90,-39%,$ 35.99,"['https://static.zara.net/assets/public/4e23/18f8/729e4336b249/7d596f6430c4/02737839070-p/02737839070-p.jpg?ts=1709571045396&w=477', 'https://static.zara.net/assets/public/20d2/1765/c102442da272/01f4273f6555/02737839070-a1/02737839070-a1.jpg?ts=1709571039453&w=477', 'https://static.zara.net/assets/public/5c32/6df1/4e1143c9817b/536d2d7150fb/11301310800-e1/11301310800-e1.jpg?ts=1703679232243&w=151', 'https://static.zara.net/assets/public/5a3a/4b8a/928a47f3a4fa/27f8a15b8139/24400478666-e1/24400478666-e1.jpg?ts=1711379552387&w=151', 'https://static.zara.net/assets/public/d538/6c0f/fb504d28bb43/4be9863a2330/1685544907397/1685544907397.jpg?ts=1703141123867&w=151', 'https://static.zara.net/assets/public/7792/113f/a5a24cebac30/048f6f938b4b/01228806942-e1/01228806942-e1.jpg?ts=1712135152856&w=151', 'https://static.zara.net/assets/public/ca7d/1f9b/46954e0e8d2b/0775bdc0d250/08779164044-e1/08779164044-e1.jpg?ts=1709300686295&w=151', 'https://static.zara.net/assets/public/d6ab/065b/78bd433b9a48/9b6e411f701b/02671072800-e1/02671072800-e1.jpg?ts=1710351058359&w=151']"
SMOCKED MIDI DRESS,Dress with straight neckline and smocked elastic. Thin straps with wood bobble appliqués.,$ 59.90,-39%,$ 35.99,"['https://static.zara.net/assets/public/b8fc/9952/b6ef4698b883/fec1cea51a4a/04387064505-p/04387064505-p.jpg?ts=1714488283442&w=477', 'https://static.zara.net/assets/public/b3a5/1858/dba24e26915b/333ac22b08ca/04387064505-a1/04387064505-a1.jpg?ts=1714488282290&w=477', 'https://static.zara.net/assets/public/d7d5/1c49/f4384a3d9286/a5008c9c4fef/1681309783688/1681309783688.jpg?ts=1701729339524&w=151', 'https://static.zara.net/assets/public/0be4/6adb/0b1e436a8c28/713d57ddcbfa/1679046850763/1679046850763.jpg?ts=1703643807487&w=151', 'https://static.zara.net/assets/public/4874/949b/8d6747c7bbce/7381558b4674/01355101830-e1/01355101830-e1.jpg?ts=1709736492479&w=151', 'https://static.zara.net/assets/public/8660/6ee8/eded496aa643/90c523690713/04387047743-e1/04387047743-e1.jpg?ts=1713339562718&w=151', 'https://static.zara.net/assets/public/d2ca/5ede/3fd746d4aa03/2eaa712a4298/02737839070-e1/02737839070-e1.jpg?ts=1709736524622&w=151', 'https://static.zara.net/assets/public/cfdb/0c3e/18e1457fb045/cdc43332e9a7/02510703330-e1/02510703330-e1.jpg?ts=1707229618825&w=151']"
SHIRT DRESS WITH STRIPE,Short dress made of knit fabric. Tonal V-neck lapel collar with band detail and zipper. Sleeveless. Tonal interior lining.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/d448/8fa2/86cb440693e0/a9533fb9325d/04661305529-015-p/04661305529-015-p.jpg?ts=1708506170974&w=477', 'https://static.zara.net/assets/public/78ed/43c4/8726493a8c01/76c35b9e7d36/04661305529-015-a1/04661305529-015-a1.jpg?ts=1708506171327&w=477', 'https://static.zara.net/assets/public/9a39/c598/9590438fab62/8d76c8225f52/13528310100-e1/13528310100-e1.jpg?ts=1706174979805&w=151', 'https://static.zara.net/photos///2023/I/0/1/p/3739/250/800/2/w/151/3739250800_6_1_1.jpg?ts=1695893759477', 'https://static.zara.net/assets/public/fe65/10ed/cdca449f90f4/65dc3bd5687e/1670244181378/1670244181378.jpg?ts=1701065353789&w=151', 'https://static.zara.net/assets/public/7926/7013/6c9344348c47/2bb66c40eb2d/4000.jpg?ts=1691502728491&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151']"
BELTED MIDI SHIRTDRESS,Lapel collar dress with short cuffed sleeves with tab and button. Front patch pockets with flaps. Contrasting woven belt. Front button closure.,$ 69.90,-28%,$ 49.99,"['https://static.zara.net/assets/public/b2c8/6b5c/4fdb49af91d1/4fb3129d5755/03538709712-p/03538709712-p.jpg?ts=1718099539579&w=477', 'https://static.zara.net/assets/public/6513/e5b5/26e5477f8e18/07decf95a018/03538709712-a1/03538709712-a1.jpg?ts=1718099537294&w=477', 'https://static.zara.net/assets/public/d7d5/1c49/f4384a3d9286/a5008c9c4fef/1681309783688/1681309783688.jpg?ts=1701729339524&w=151', 'https://static.zara.net/assets/public/34db/42d8/b55e48528afa/11b27301fb43/4000.jpg?ts=1692891220406&w=151', 'https://static.zara.net/assets/public/6d09/b68b/75994ce0a0a3/13d40e94e9f7/01228817800-e1/01228817800-e1.jpg?ts=1710774138206&w=151', 'https://static.zara.net/assets/public/8e1d/5eac/4e75470cb169/0331a55d5616/01228818800-e1/01228818800-e1.jpg?ts=1710774136027&w=151', 'https://static.zara.net/assets/public/1480/a788/d64c47eabdf1/9d96c4082f57/04661305529-e1/04661305529-e1.jpg?ts=1708090649223&w=151', 'https://static.zara.net/assets/public/95f6/e5c5/b35f42b0a69a/bc7fa684bab0/03505526044-e1/03505526044-e1.jpg?ts=1719313975428&w=151']"
LINEN BLEND MIDI SHIRTDRESS,"Linen blend dress. Collar, V-neck, and turned-up long sleeves with buttoned tabs. Front patch pockets. Self belt. Front button closure.",$ 69.90,-28%,$ 49.99,"['https://static.zara.net/assets/public/7355/a50a/1db54132b90b/d9e4036681f1/03505526044-p/03505526044-p.jpg?ts=1715271636264&w=477', 'https://static.zara.net/assets/public/3a24/c160/07e047079e4e/68a2b7038f80/03505526044-a1/03505526044-a1.jpg?ts=1715271635774&w=477', 'https://static.zara.net/assets/public/ace8/93c2/67b4446692fe/4220ddc689df/1638466168656/1638466168656.jpg?ts=1701714850327&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151', 'https://static.zara.net/assets/public/1480/a788/d64c47eabdf1/9d96c4082f57/04661305529-e1/04661305529-e1.jpg?ts=1708090649223&w=151', 'https://static.zara.net/assets/public/a770/b9b0/d6b847529140/82fd96253390/03538709712-e1/03538709712-e1.jpg?ts=1718106718093&w=151']"
RIBBED MIDI DRESS,Round neck sleeveless dress.,$ 35.90,-44%,$ 19.99,"['https://static.zara.net/assets/public/464a/82d8/0ec242b6979c/0ecb78ab9d6d/01044157250-p/01044157250-p.jpg?ts=1711472792238&w=477', 'https://static.zara.net/assets/public/5c4f/bacc/926e4b87ab6c/c9fd1975c0fb/01044157250-a1/01044157250-a1.jpg?ts=1711472810882&w=477', 'https://static.zara.net/assets/public/0d86/776c/071248ab8c29/edd5a2ed0fd4/12356310002-e1/12356310002-e1.jpg?ts=1710511842497&w=151', 'https://static.zara.net/assets/public/bfc9/c13f/93ae4bd29d27/8a981f2e1523/1647533495562/1647533495562.jpg?ts=1704305034057&w=151', 'https://static.zara.net/assets/public/7926/7013/6c9344348c47/2bb66c40eb2d/4000.jpg?ts=1691502728491&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151', 'https://static.zara.net/assets/public/95f6/e5c5/b35f42b0a69a/bc7fa684bab0/03505526044-e1/03505526044-e1.jpg?ts=1719313975428&w=151']"
PRINTED SHORT DRESS ZW COLLECTION,"ZARA WOMAN COLLECTION

Mini dress made of 100% cotton. Round neck and short sleeves. Swing skirt. Front button closure.",$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/0551/29bf/1d9c4d11810a/b411f5ed186c/02183015037-p/02183015037-p.jpg?ts=1718208473867&w=477', 'https://static.zara.net/assets/public/ec33/663f/c230454aa055/e692e22b6ea7/02183015037-a1/02183015037-a1.jpg?ts=1718208472614&w=477', 'https://static.zara.net/assets/public/7102/0618/9a7e41feba91/0fdc8c1bf84d/11667310700-e1/11667310700-e1.jpg?ts=1712671377095&w=151', 'https://static.zara.net/assets/public/a076/63d7/529b45149f9b/c9ef91316693/1654256307396/1654256307396.jpg?ts=1704450591955&w=151', 'https://static.zara.net/assets/public/39a0/17d9/7aa64149a314/af59d059c293/1679046747330/1679046747330.jpg?ts=1702177306882&w=151', 'https://static.zara.net/assets/public/0f07/6a1f/204844b0b2ae/aa0b70d65248/01228816406-e1/01228816406-e1.jpg?ts=1707930148997&w=151', 'https://static.zara.net/assets/public/34e2/b2c9/0ce1498db8c3/64741e195d44/02183015080-e1/02183015080-e1.jpg?ts=1718285334160&w=151', 'https://static.zara.net/assets/public/4c64/050d/b66f4b18918d/221934955a8f/01044157250-e1/01044157250-e1.jpg?ts=1711541381907&w=151']"
FITTED MINI SHIRTDRESS,Mini dress with lapel collar and long sleeves. Fitted waist. Front hidden in-seam zip closure.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/b20e/6299/d2024114b106/a5aefcac0691/02595140801-p/02595140801-p.jpg?ts=1708072409852&w=477', 'https://static.zara.net/assets/public/3d5c/b4de/b5d14c10b4e1/6392ec48db72/02595140801-a1/02595140801-a1.jpg?ts=1708072400963&w=477', 'https://static.zara.net/assets/public/4f0f/62dc/cb2d44a4b6ff/4f3096abeeaa/15703310001-e1/15703310001-e1.jpg?ts=1707467728799&w=151', 'https://static.zara.net/assets/public/6c2a/a6a6/bc024d9fbb89/175bcd5eaa83/00653003712-e1/00653003712-e1.jpg?ts=1706199375405&w=151', 'https://static.zara.net/assets/public/d7d5/1c49/f4384a3d9286/a5008c9c4fef/1681309783688/1681309783688.jpg?ts=1701729339524&w=151', 'https://static.zara.net/assets/public/d538/6c0f/fb504d28bb43/4be9863a2330/1685544907397/1685544907397.jpg?ts=1703141123867&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151']"
SHORT SLEEVE POLO DRESS,Mini dress with polo collar and short sleeves. Relaxed fit. Front button closure.,$ 45.90,-21%,$ 35.99,"['https://static.zara.net/assets/public/4b68/47c5/20b24a7e8cba/485c1c7edf9d/05070154800-020-p/05070154800-020-p.jpg?ts=1704970983379&w=477', 'https://static.zara.net/assets/public/16bc/5e9c/9e27484f9851/bf59dfffd8a6/05070154800-020-a1/05070154800-020-a1.jpg?ts=1704970981958&w=477', 'https://static.zara.net/assets/public/920a/3e9a/303241ecba3d/23d2221ae12f/13078210800-020-e1/13078210800-020-e1.jpg?ts=1704279580848&w=151', 'https://static.zara.net/assets/public/5a3a/4b8a/928a47f3a4fa/27f8a15b8139/24400478666-e1/24400478666-e1.jpg?ts=1711379552387&w=151', 'https://static.zara.net/assets/public/34db/42d8/b55e48528afa/11b27301fb43/4000.jpg?ts=1692891220406&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151', 'https://static.zara.net/assets/public/ad50/0cdb/70b24f989d09/b4b5e21892f8/02595140801-e1/02595140801-e1.jpg?ts=1708074137491&w=151']"
ZW COLLECTION MINI BALLOON DRESS,"ZARA WOMAN COLLECTION

Mini dress made of 100% cotton. Round neck and long balloon sleeves with cuffs. Elastic waist. Balloon effect finish. Front button closure.",$ 69.90,-28%,$ 49.99,"['https://static.zara.net/assets/public/82c0/f543/8f494f33b836/5bbd681c6146/02671072800-p/02671072800-p.jpg?ts=1710169981651&w=477', 'https://static.zara.net/assets/public/9aff/321d/a7a54600abab/cd7078305a56/02671072800-a1/02671072800-a1.jpg?ts=1710169976190&w=477', 'https://static.zara.net/assets/public/b5f7/9812/dbbb4ced9958/aef90447235a/11626310800-e1/11626310800-e1.jpg?ts=1711457709072&w=151', 'https://static.zara.net/assets/public/bfc9/c13f/93ae4bd29d27/8a981f2e1523/1647533495562/1647533495562.jpg?ts=1704305034057&w=151', 'https://static.zara.net/assets/public/7926/7013/6c9344348c47/2bb66c40eb2d/4000.jpg?ts=1691502728491&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151', 'https://static.zara.net/assets/public/3984/3779/ffd149a5ac2a/cef5cfcd06dc/05070154800-e1/05070154800-e1.jpg?ts=1704710670272&w=151']"
RIBBED SWING DRESS,Midi dress made with cotton blend fabric. Round neck and long sleeves. A-line silhouette.,$ 39.90,-42%,$ 22.99,"['https://static.zara.net/assets/public/ce42/3b48/743d47c6b557/152521213202/01044156800-p/01044156800-p.jpg?ts=1707233120068&w=477', 'https://static.zara.net/assets/public/6341/a8e1/444142ecaf90/289229c8284f/01044156800-a1/01044156800-a1.jpg?ts=1707233145070&w=477', 'https://static.zara.net/assets/public/fe65/10ed/cdca449f90f4/65dc3bd5687e/1670244181378/1670244181378.jpg?ts=1701065353789&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151', 'https://static.zara.net/assets/public/d6ab/065b/78bd433b9a48/9b6e411f701b/02671072800-e1/02671072800-e1.jpg?ts=1710351058359&w=151', 'https://static.zara.net/assets/public/24f5/9bf0/86e84b3d8a5a/24eff7cc7965/01058021800-e1/01058021800-e1.jpg?ts=1707510952372&w=151']"
SHORT SOFT DRESS,Dress made of soft fabric. Tonal rib elastic round neck and short sleeves. Pronounced front seam detail.,$ 29.90,-39%,$ 17.99,"['https://static.zara.net/photos///2023/I/0/1/p/5039/410/803/12/w/477/5039410803_1_1_1.jpg?ts=1701944589921', 'https://static.zara.net/assets/public/ab26/63fc/10ba4414ac75/9efc3f147e78/05039410803-010-p/05039410803-010-p.jpg?ts=1701963876058&w=477', 'https://static.zara.net/assets/public/5176/0c72/6a174b3487de/c4d250cb1a75/24390205807-e1/24390205807-e1.jpg?ts=1712659087647&w=151', 'https://static.zara.net/assets/public/7926/7013/6c9344348c47/2bb66c40eb2d/4000.jpg?ts=1691502728491&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151', 'https://static.zara.net/photos///2023/I/0/1/p/5039/410/720/2/w/151/5039410720_6_1_1.jpg?ts=1695194073347', 'https://static.zara.net/assets/public/f045/b8b4/58d44af5a3c2/0b92247b90e6/01044156800-e1/01044156800-e1.jpg?ts=1706798722815&w=151']"
WASHED EFFECT RIBBED DRESS,"Sleeveless fitted mini dress with round neckline. Washed effect fabric.

Due to the dyeing and washing processes, the color on each item is unique and special and may differ slightly from the one pictured.",$ 25.90,-49%,$ 12.99,"['https://static.zara.net/assets/public/c060/37e5/07bc4a1da0dc/27691ce7042d/03253341406-p/03253341406-p.jpg?ts=1711557124177&w=477', 'https://static.zara.net/assets/public/232a/fdc6/2f8443689324/1f02555c359e/03253341406-a1/03253341406-a1.jpg?ts=1711557131140&w=477', 'https://static.zara.net/assets/public/1896/a959/5b574d5ca360/cf05eb0bde7a/24400479184-e1/24400479184-e1.jpg?ts=1712138289019&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151', 'https://static.zara.net/photos///2023/I/0/1/p/5039/410/803/2/w/151/5039410803_6_1_1.jpg?ts=1695194075227', 'https://static.zara.net/assets/public/95f5/1514/02b148b49fce/c04bafce27e3/03253341506-e1/03253341506-e1.jpg?ts=1711541712166&w=151']"
PRINTED DRESS ZW COLLECTION,"ZARA WOMAN COLLECTION

Short dress with V-neckline. Long sleeves with balloon shoulders and textured metal buttoned cuff. Adjustable tied self belt.Metallic thread detail. Contrasting interior lining. Front button closure hidden by a flap.",$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/a39c/6bff/b63740318908/708708532445/02510703330-p/02510703330-p.jpg?ts=1707318078743&w=477', 'https://static.zara.net/assets/public/e55d/f176/5ef74aba8088/08a5bbc01fd9/02510703330-a1/02510703330-a1.jpg?ts=1707318069064&w=477', 'https://static.zara.net/assets/public/d7d5/1c49/f4384a3d9286/a5008c9c4fef/1681309783688/1681309783688.jpg?ts=1701729339524&w=151', 'https://static.zara.net/assets/public/e37a/c6de/6a8344a083bc/c7035b2d2528/4000.jpg?ts=1691502195375&w=151', 'https://static.zara.net/assets/public/2f1e/f8cc/107f455ea776/13a0b35def63/01355823800-e1/01355823800-e1.jpg?ts=1708074182243&w=151', 'https://static.zara.net/assets/public/d2ca/5ede/3fd746d4aa03/2eaa712a4298/02737839070-e1/02737839070-e1.jpg?ts=1709736524622&w=151', 'https://static.zara.net/assets/public/342d/bff0/a32e440b86fd/f5c24fd02d35/08741035506-e1/08741035506-e1.jpg?ts=1710351084643&w=151', 'https://static.zara.net/assets/public/3984/3779/ffd149a5ac2a/cef5cfcd06dc/05070154800-e1/05070154800-e1.jpg?ts=1704710670272&w=151']"
ANIMAL PRINT STRETCH KNIT DRESS,Mini dress made of knit fabric. Squared neckline and wide straps.,$ 35.90,-44%,$ 19.99,"['https://static.zara.net/assets/public/ebe9/50ee/62834a7ba6a2/bdb39d3c0783/05584200042-016-p/05584200042-016-p.jpg?ts=1717604992046&w=477', 'https://static.zara.net/assets/public/23af/0519/bcc14905a88d/19e40e7b9535/05584200042-016-a1/05584200042-016-a1.jpg?ts=1717604992299&w=477', 'https://static.zara.net/assets/public/fe65/10ed/cdca449f90f4/65dc3bd5687e/1670244181378/1670244181378.jpg?ts=1701065353789&w=151', 'https://static.zara.net/assets/public/e37a/c6de/6a8344a083bc/c7035b2d2528/4000.jpg?ts=1691502195375&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151', 'https://static.zara.net/assets/public/f7ac/daa6/e4e54112b11c/c0ff91721585/02194482038-e1/02194482038-e1.jpg?ts=1704711645439&w=151', 'https://static.zara.net/assets/public/cfdb/0c3e/18e1457fb045/cdc43332e9a7/02510703330-e1/02510703330-e1.jpg?ts=1707229618825&w=151']"
